Time [ms];SetVal [ns];BusTime [ns];ActVal [ns];CtlAdj;CtlErr [ns];CtlErrFilt; Drift [ppm]; CtlErr [1/10 pmil]; CtlOutSum; CtlOutTot [pmil];DC StartTime;DCM ErrorCode;DCM InSync;DC InSync;SystemTimeDiff [ns];RefClock FixedAddr
4609; 666000; 3796181455; 0; 0; 0; 0;  0; 0; 0; 0; 0; 2551250952; 0; 1; 0; 1001
4610; 666000; 3797181055; 999600; 0; 400; 0;  0; 0; 0; 0; 0; 2551250952; 0; 1; 0; 1001
4611; 666000; 3798185215; 3760; 500000; -3760; -3760;  0; -75; 300; -7; 0; 2551250952; 0; 1; 0; 1001
4612; 666000; 3799180856; 999401; 500000; 599; -3215;  0; -61; 570; -6; 0; 2551250952; 0; 1; 0; 1001
4613; 666000; 3800182056; 601; 500000; -601; -2888;  0; -52; 813; -5; 0; 2551250952; 0; 1; 0; 1001
4614; 666000; 3801184135; 2680; 500000; -2680; -2862;  0; -49; 1031; -4; 0; 2551250952; 0; 1; 0; 1001
4615; 666000; 3802203375; 21920; 500000; -21920; -2862;  0; -46; 1227; -4; 0; 2551250952; 0; 1; 0; 1001
4616; 666000; 3803200096; 18641; 500000; -18641; -2862;  0; -44; 1404; -4; 0; 2551250952; 0; 1; 0; 1001
4617; 666000; 3804199455; 18000; 500000; -18000; -4754;  0; -81; 1563; -8; 0; 2551250952; 0; 1; 0; 1001
4618; 666000; 3805174615; 993160; 500000; 6840; -4754;  0; -79; 1706; -7; 0; 2551250952; 0; 1; 0; 1001
4619; 666000; 3806157895; 976440; 500000; 23560; -4754;  0; -78; 1835; -7; 0; 2551250952; 0; 1; 0; 1001
4620; 666000; 3807151974; 970519; 500000; 29481; -474;  0; 8; 1351; 0; 0; 2551250952; 0; 1; 0; 1001
4621; 666000; 3808153694; 972239; 2000000; 27761; -474;  328; 3231; 915; 100; 0; 2551250952; 0; 1; 0; 1001
4622; 666000; 3809154493; 973038; 2000000; 26962; -474;  321; 3090; 523; 100; 0; 2551250952; 0; 1; 0; 1001
4623; 666000; 3810173853; 992398; 2000000; 7602; 535;  324; 3165; 170; 100; 0; 2551250952; 0; 1; 0; 1001
4624; 666000; 3811225413; 43958; 2000000; -43958; 535;  326; 3200; -147; 100; 0; 2551250952; 0; 1; 0; 1001
4625; 666000; 3812238372; 56917; 2000000; -56917; 535;  327; 3217; -432; 100; 0; 2551250952; 0; 1; 0; 1001
4626; 666000; 3813212293; 30838; 2000000; -30838; -3386;  280; 2279; -688; 100; 0; 2551250952; 0; 1; 0; 1001
4627; 666000; 3814181052; 999597; 2000000; 403; -2912;  268; 2089; -919; 100; 0; 2551250952; 0; 1; 0; 1001
4628; 666000; 3815240412; 58957; 2000000; -58957; -2912;  257; 1914; -1127; 100; 0; 2551250952; 0; 1; 0; 1001
4629; 666000; 3816242172; 60717; 2000000; -60717; -2912;  248; 1775; -1314; 100; 0; 2551250952; 0; 1; 0; 1001
4630; 666000; 3817197492; 16037; 2000000; -16037; -4552;  166; 722; -1482; 72; 0; 2551250952; 0; 1; 0; 1001
4631; 666000; 3818241252; 59797; 2000000; -59797; -4552;  94; 159; -1633; 15; 0; 2551250952; 0; 1; 0; 1001
4632; 666000; 3819242532; 61077; 500000; -61077; -4552;  31; -78; -1169; -7; 0; 2551250952; 0; 1; 0; 1001
4633; 666000; 3820245533; 64078; 500000; -64078; -11992;  -128; -743; -752; -74; 0; 2551250952; 0; 1; 0; 1001
4634; 666000; 3821195772; 14317; 500000; -14317; -12282;  -272; -2472; -376; -100; 0; 2551250952; 0; 1; 0; 1001
4635; 666000; 3822191693; 10238; 500000; -10238; -12026;  -395; -4925; -38; -100; 0; 2551250952; 0; 1; 0; 1001
4636; 666000; 3823180773; 999318; 500000; 682; -12026;  -454; -6424; 266; -100; 0; 2551250952; 0; 1; 0; 1001
4637; 666000; 3824182053; 598; 500000; -598; -12026;  -511; -8071; 539; -100; 0; 2551250952; 0; 1; 0; 1001
4638; 666000; 3825193173; 11718; 500000; -11718; -11987;  -560; -9642; 785; -100; 0; 2551250952; 0; 1; 0; 1001
4639; 666000; 3826190813; 9358; 500000; -9358; -11658;  -600; -11025; 1006; -100; 0; 2551250952; 0; 1; 0; 1001
4640; 666000; 3827189693; 8238; 500000; -8238; -11230;  -608; -11304; 1205; -100; 0; 2551250952; 0; 1; 0; 1001
4641; 666000; 3828189612; 8157; 500000; -8157; -10845;  -611; -11404; 1384; -100; 0; 2551250952; 0; 1; 0; 1001
4642; 666000; 3829193492; 12037; 500000; -12037; -10994;  -615; -11552; 1545; -100; 0; 2551250952; 0; 1; 0; 1001
4643; 666000; 3830192132; 10677; 500000; -10677; -10954;  -525; -8472; 1690; -100; 0; 2551250952; 0; 1; 0; 1001
4644; 666000; 3831192053; 10598; 500000; -10598; -10909;  -442; -6062; 1821; -100; 0; 2551250952; 0; 1; 0; 1001
4645; 666000; 3832195451; 13996; 500000; -13996; -11294;  -377; -4471; 1938; -100; 0; 2551250952; 0; 1; 0; 1001
4646; 666000; 3833194652; 13197; 500000; -13197; -11531;  -324; -3360; 2044; -100; 0; 2551250952; 0; 1; 0; 1001
4647; 666000; 3834194732; 13277; 500000; -13277; -11749;  -280; -2566; 2139; -100; 0; 2551250952; 0; 1; 0; 1001
