Time [ms];SetVal [ns];BusTime [ns];ActVal [ns];CtlAdj;CtlErr [ns];CtlErrFilt; Drift [ppm]; CtlErr [1/10 pmil]; CtlOutSum; CtlOutTot [pmil];DC StartTime;DCM ErrorCode;DCM InSync;DC InSync;SystemTimeDiff [ns];RefClock FixedAddr
4610; 666000; 1533156897; 0; 0; 0; 0;  0; 0; 0; 0; 0; 2551250952; 0; 1; 0; 1001
4611; 666000; 1534170897; 14000; 0; -14000; 0;  0; 0; 0; 0; 0; 2551250952; 0; 1; 0; 1001
4612; 666000; 1535166937; 10040; 0; -10040; 0;  0; 0; 0; 0; 0; 2551250952; 0; 1; 0; 1001
4613; 666000; 1536165737; 8840; 0; -8840; 0;  0; 0; 0; 0; 0; 2551250952; 0; 1; 0; 1001
4614; 666000; 1537129577; 972680; 2000000; 27320; 27320;  0; 546; -300; 54; 0; 2551250952; 0; 1; 0; 1001
4615; 666000; 1538163137; 6240; 2000000; -6240; 27320;  0; 543; -570; 54; 0; 2551250952; 0; 1; 0; 1001
4616; 666000; 1539162577; 5680; 2000000; -5680; 27320;  0; 540; -813; 54; 0; 2551250952; 0; 1; 0; 1001
4617; 666000; 1540177057; 20160; 2000000; -20160; 21385;  0; 419; -1031; 41; 0; 2551250952; 0; 1; 0; 1001
4618; 666000; 1541156937; 40; 2000000; -40; 21385;  0; 417; -1227; 41; 0; 2551250952; 0; 1; 0; 1001
4619; 666000; 1542144138; 987241; 2000000; 12759; 21385;  0; 415; -1404; 41; 0; 2551250952; 0; 1; 0; 1001
4620; 666000; 1543153258; 996361; 2000000; 3639; 19166;  0; 369; -1563; 36; 0; 2551250952; 0; 1; 0; 1001
4621; 666000; 1544155298; 998401; 2000000; 1599; 19166;  0; 367; -1706; 36; 0; 2551250952; 0; 1; 0; 1001
4622; 666000; 1545163458; 6561; 2000000; -6561; 19166;  0; 366; -1835; 36; 0; 2551250952; 0; 1; 0; 1001
4623; 666000; 1546151619; 994722; 2000000; 5278; 17430;  0; 330; -1951; 33; 0; 2551250952; 0; 1; 0; 1001
4624; 666000; 1547151259; 994362; 500000; 5638; 17430;  -989; -29014; -1455; -100; 0; 2551250952; 0; 1; 0; 1001
4625; 666000; 1548168860; 11963; 500000; -11963; 17430;  -989; -29009; -1009; -100; 0; 2551250952; 0; 1; 0; 1001
4626; 666000; 1549155340; 998443; 500000; 1557; 15445;  -1013; -29701; -608; -100; 0; 2551250952; 0; 1; 0; 1001
4627; 666000; 1550215701; 58804; 500000; -58804; 15445;  -961; -27402; -247; -100; 0; 2551250952; 0; 1; 0; 1001
4628; 666000; 1551216741; 59844; 500000; -59844; 15445;  -915; -24810; 78; -100; 0; 2551250952; 0; 1; 0; 1001
4629; 666000; 1552214902; 58005; 500000; -58005; 6263;  -989; -29217; 370; -100; 0; 2551250952; 0; 1; 0; 1001
4630; 666000; 1553142782; 985885; 500000; 14115; 6263;  -1027; -29871; 633; -100; 0; 2551250952; 0; 1; 0; 1001
4631; 666000; 1554214782; 57885; 500000; -57885; 6263;  -1060; -29868; 869; -100; 0; 2551250952; 0; 1; 0; 1001
4632; 666000; 1555214703; 57806; 500000; -57806; -1745;  -1189; -30026; 1082; -100; 0; 2551250952; 0; 1; 0; 1001
4633; 666000; 1556214423; 57526; 500000; -57526; -1745;  -1280; -30024; 1273; -100; 0; 2551250952; 0; 1; 0; 1001
4634; 666000; 1557135223; 978326; 500000; 21674; -1745;  -1359; -30022; 1445; -100; 0; 2551250952; 0; 1; 0; 1001
4635; 666000; 1558217064; 60167; 500000; -60167; -9047;  -1520; -30166; 1600; -100; 0; 2551250952; 0; 1; 0; 1001
4636; 666000; 1559145423; 988526; 500000; 11474; -9047;  -1636; -30164; 1740; -100; 0; 2551250952; 0; 1; 0; 1001
4637; 666000; 1560217023; 60126; 500000; -60126; -9047;  -1738; -30163; 1866; -100; 0; 2551250952; 0; 1; 0; 1001
4638; 666000; 1561137823; 980926; 500000; 19074; -5531;  -1783; -30091; 1979; -100; 0; 2551250952; 0; 1; 0; 1001
4639; 666000; 1562214504; 57607; 500000; -57607; -5531;  -1707; -30090; 2081; -100; 0; 2551250952; 0; 1; 0; 1001
4640; 666000; 1563217944; 61047; 500000; -61047; -5531;  -1641; -30089; 2172; -100; 0; 2551250952; 0; 1; 0; 1001
4641; 666000; 1564215824; 58927; 500000; -58927; -12205;  -1667; -30222; 2254; -100; 0; 2551250952; 0; 1; 0; 1001
4642; 666000; 1565143184; 986287; 500000; 13713; -12205;  -1589; -30221; 2328; -100; 0; 2551250952; 0; 1; 0; 1001
4643; 666000; 1566168944; 12047; 500000; -12047; -12185;  -1521; -30220; 2395; -100; 0; 2551250952; 0; 1; 0; 1001
4644; 666000; 1567169063; 12166; 500000; -12166; -12182;  -1461; -30219; 2455; -100; 0; 2551250952; 0; 1; 0; 1001
4645; 666000; 1568167463; 10566; 500000; -10566; -11980;  -1315; -30215; 2509; -100; 0; 2551250952; 0; 1; 0; 1001
4646; 666000; 1569130343; 973446; 500000; 26554; -11980;  -1187; -30214; 2558; -100; 0; 2551250952; 0; 1; 0; 1001
4647; 666000; 1570167582; 10685; 500000; -10685; -11818;  -1073; -30210; 2602; -100; 0; 2551250952; 0; 1; 0; 1001
4648; 666000; 1571168062; 11165; 500000; -11165; -11736;  -1017; -30208; 2641; -100; 0; 2551250952; 0; 1; 0; 1001
4649; 666000; 1572162221; 5324; 500000; -5324; -11736;  -967; -28260; 2676; -100; 0; 2551250952; 0; 1; 0; 1001
4650; 666000; 1573132981; 976084; 500000; 23916; -11736;  -924; -25821; 2708; -100; 0; 2551250952; 0; 1; 0; 1001
4651; 666000; 1574182900; 26003; 500000; -26003; -13519;  -824; -20612; 2737; -100; 0; 2551250952; 0; 1; 0; 1001
